Progeny Sire    Dam     Sex  G   NMPrg NFPrg F        Homo     Phen      Res       Polygene  QTL       Final_EBV
1       0       0       M   0    4     6     0.000000 0.701467       --- +0.000000 -0.000000 -0.156290 -0.193466
2       0       0       M   0    14    16    0.000000 0.702578       --- +0.000000 -0.000000 +0.064768 +0.088256
3       0       0       M   0    35    55    0.000000 0.693267       --- +0.000000 -0.000000 +0.536146 +0.464279
4       0       0       M   0    5     5     0.000000 0.709956       --- +0.000000 -0.000000 -0.151051 -0.139340
5       0       0       M   0    12    8     0.000000 0.694089       --- +0.000000 -0.000000 +0.143905 +0.060764
6       0       0       M   0    7     13    0.000000 0.694333       --- +0.000000 -0.000000 -0.017663 -0.131927
7       0       0       M   0    13    7     0.000000 0.703956       --- +0.000000 -0.000000 -0.281812 -0.087121
8       0       0       M   0    3     7     0.000000 0.689289       --- +0.000000 +0.000000 -0.122037 -0.012327
9       0       0       M   0    5     5     0.000000 0.698911       --- +0.000000 -0.000000 +0.385522 -0.015101
10      0       0       M   0    19    41    0.000000 0.697356       --- +0.000000 -0.000000 +0.051502 +0.156712
11      0       0       M   0    6     4     0.000000 0.689400       --- +0.000000 +0.000000 +0.077823 -0.210523
12      0       0       M   0    36    44    0.000000 0.691333       --- +0.000000 +0.000000 +0.183505 +0.489117
13      0       0       M   0    8     12    0.000000 0.687200       --- +0.000000 -0.000000 +0.221257 -0.134701
14      0       0       M   0    15    25    0.000000 0.685267       --- +0.000000 +0.000000 +0.288990 +0.061129
15      0       0       M   0    5     5     0.000000 0.695400       --- +0.000000 +0.000000 -0.401164 -0.097264
16      0       0       M   0    5     5     0.000000 0.713867       --- +0.000000 -0.000000 -0.131707 -0.030630
17      0       0       M   0    10    10    0.000000 0.690044       --- +0.000000 +0.000000 -0.330067 -0.141255
18      0       0       M   0    2     8     0.000000 0.687178       --- +0.000000 +0.000000 +0.005716 -0.151831
19      0       0       M   0    23    17    0.000000 0.694822       --- +0.000000 -0.000000 +0.021614 +0.123817
20      0       0       M   0    3     7     0.000000 0.710133       --- +0.000000 -0.000000 +0.239821 -0.066737
21      0       0       M   0    17    13    0.000000 0.713022       --- +0.000000 +0.000000 +0.244300 +0.141573
22      0       0       M   0    7     13    0.000000 0.701911       --- +0.000000 +0.000000 +0.357207 -0.005693
23      0       0       M   0    29    31    0.000000 0.706578       --- +0.000000 -0.000000 +0.358991 +0.217857
24      0       0       M   0    21    19    0.000000 0.682156       --- +0.000000 +0.000000 -0.463700 +0.123645
25      0       0       M   0    9     11    0.000000 0.712533       --- +0.000000 +0.000000 +0.088624 -0.078604
26      0       0       M   0    14    16    0.000000 0.680889       --- +0.000000 +0.000000 +0.057021 +0.161641
27      0       0       M   0    14    6     0.000000 0.709622       --- +0.000000 +0.000000 +0.127007 -0.047481
28      0       0       M   0    8     2     0.000000 0.713467       --- +0.000000 +0.000000 -0.165917 -0.082622
29      0       0       M   0    6     4     0.000000 0.704756       --- +0.000000 -0.000000 -0.459095 -0.008826
30      0       0       M   0    4     6     0.000000 0.687756       --- +0.000000 -0.000000 -0.249826 -0.150410
31      0       0       M   0    5     5     0.000000 0.697311       --- +0.000000 +0.000000 -0.572535 -0.191425
32      0       0       M   0    10    10    0.000000 0.703200       --- +0.000000 -0.000000 +0.336242 +0.038731
33      0       0       M   0    7     13    0.000000 0.699333       --- +0.000000 -0.000000 -0.504876 +0.005001
34      0       0       M   0    2     8     0.000000 0.710067       --- +0.000000 +0.000000 -0.216287 -0.092011
35      0       0       M   0    11    9     0.000000 0.711044       --- +0.000000 +0.000000 +0.732621 -0.056756
36      0       0       M   0    5     5     0.000000 0.687311       --- +0.000000 -0.000000 +0.139854 +0.000246
37      0       0       M   0    28    22    0.000000 0.695778       --- +0.000000 -0.000000 +0.346301 +0.132454
38      0       0       M   0    17    13    0.000000 0.699000       --- +0.000000 -0.000000 -0.184232 -0.004566
39      0       0       M   0    6     14    0.000000 0.695644       --- +0.000000 -0.000000 +0.292402 -0.096711
40      0       0       M   0    5     5     0.000000 0.703622       --- +0.000000 -0.000000 +0.292335 -0.069829
41      0       0       M   0    5     5     0.000000 0.693111       --- +0.000000 +0.000000 -0.482644 -0.013200
42      0       0       M   0    4     6     0.000000 0.700956       --- +0.000000 -0.000000 +0.425114 -0.044453
43      0       0       M   0    23    17    0.000000 0.699289       --- +0.000000 -0.000000 -0.225454 +0.058672
44      0       0       M   0    15    15    0.000000 0.700289       --- +0.000000 +0.000000 +0.216879 +0.135751
45      0       0       M   0    20    20    0.000000 0.705622       --- +0.000000 -0.000000 +0.311589 +0.075783
46      0       0       F   0    0     2     0.000000 0.681956 -0.351090 +0.201484 -0.000000 -0.552574 -0.105548
47      0       0       F   0    0     1     0.000000 0.693644 -0.754118 -0.225203 +0.000000 -0.528915 -0.124876
48      0       0       F   0    0     3     0.000000 0.706578 +0.602706 +0.704922 +0.000000 -0.102216 -0.012460
49      0       0       F   0    4     1     0.000000 0.700089 +1.304206 +0.798044 -0.000000 +0.506162 +0.095373
50      0       0       F   0    6     4     0.000000 0.708133 +2.439257 +1.253577 -0.000000 +1.185680 +0.332022
51      0       0       F   0    3     1     0.000000 0.698956 +0.940900 +0.374203 +0.000000 +0.566697 +0.051019
52      0       0       F   0    2     3     0.000000 0.711933 +0.384616 +0.172075 -0.000000 +0.212541 +0.032546
53      0       0       F   0    3     2     0.000000 0.692533 +0.353618 +0.360289 -0.000000 -0.006671 +0.127775
54      0       0       F   0    1     4     0.000000 0.700933 +1.747271 +1.898620 -0.000000 -0.151350 +0.088821
55      0       0       F   0    0     1     0.000000 0.695511 -0.707769 -0.588392 +0.000000 -0.119377 -0.092971
56      0       0       F   0    1     2     0.000000 0.706667 -0.866588 -0.541600 +0.000000 -0.324988 -0.043060
57      0       0       F   0    4     0     0.000000 0.695489 +0.241472 +0.027152 -0.000000 +0.214320 +0.020840
58      0       0       F   0    2     0     0.000000 0.710511 -0.716438 -0.869224 +0.000000 +0.152787 -0.061832
59      0       0       F   0    2     1     0.000000 0.697111 +0.078544 +0.372460 +0.000000 -0.293916 -0.063614
60      0       0       F   0    5     0     0.000000 0.701356 +1.138469 +1.621660 +0.000000 -0.483191 +0.065858
61      0       0       F   0    1     2     0.000000 0.698644 +0.274222 +0.074928 -0.000000 +0.199294 -0.040210
62      0       0       F   0    0     1     0.000000 0.702689 -0.676563 -0.496738 -0.000000 -0.179825 -0.089092
63      0       0       F   0    2     3     0.000000 0.705133 +0.035725 +0.160050 +0.000000 -0.124325 +0.089631
64      0       0       F   0    1     1     0.000000 0.718844 -0.173562 -0.134905 -0.000000 -0.038657 -0.053145
65      0       0       F   0    4     1     0.000000 0.701400 +0.880335 +0.969371 +0.000000 -0.089036 +0.024253
66      0       0       F   0    1     1     0.000000 0.701333 -0.565912 -0.717419 +0.000000 +0.151507 -0.053546
67      0       0       F   0    3     4     0.000000 0.704111 +1.886862 +1.780846 +0.000000 +0.106016 +0.159854
68      0       0       F   0    4     0     0.000000 0.694000 +0.165692 -0.181434 -0.000000 +0.347127 +0.014300
69      0       0       F   0    3     3     0.000000 0.703178 +0.563794 +0.318890 +0.000000 +0.244904 +0.155035
70      0       0       F   0    3     4     0.000000 0.695378 +1.939504 +2.019387 +0.000000 -0.079884 +0.146380
71      0       0       F   0    0     1     0.000000 0.707200 -0.251651 -0.518351 -0.000000 +0.266701 -0.086379
72      0       0       F   0    3     0     0.000000 0.690022 -0.126460 +0.467208 +0.000000 -0.593669 -0.010914
73      0       0       F   0    0     1     0.000000 0.704889 -0.424732 -0.534217 +0.000000 +0.109485 -0.119998
74      0       0       F   0    2     0     0.000000 0.715022 -0.583103 -1.129402 +0.000000 +0.546299 -0.050325
75      0       0       F   0    0     2     0.000000 0.680489 -0.495642 -0.414953 +0.000000 -0.080689 -0.048899
76      0       0       F   0    1     0     0.000000 0.713244 -0.959690 -0.660252 +0.000000 -0.299438 -0.082826
77      0       0       F   0    2     3     0.000000 0.711400 +0.717208 +0.731097 +0.000000 -0.013889 +0.033528
78      0       0       F   0    0     3     0.000000 0.696622 +0.403212 +0.252505 -0.000000 +0.150707 +0.002132
79      0       0       F   0    1     2     0.000000 0.700533 -0.024792 -0.650915 -0.000000 +0.626123 -0.011252
80      0       0       F   0    1     2     0.000000 0.686311 +0.338288 +0.213242 +0.000000 +0.125046 -0.033512
81      0       0       F   0    0     1     0.000000 0.702600 -1.158199 -0.937459 -0.000000 -0.220741 -0.141481
82      0       0       F   0    1     0     0.000000 0.702467 -1.436060 -1.104137 -0.000000 -0.331923 -0.123939
83      0       0       F   0    2     2     0.000000 0.703356 +0.398050 +0.142237 -0.000000 +0.255812 +0.040759
84      0       0       F   0    1     2     0.000000 0.704022 -0.018750 -0.259988 +0.000000 +0.241238 +0.007867
85      0       0       F   0    1     4     0.000000 0.704022 -0.159914 +0.004882 +0.000000 -0.164797 +0.005965
86      0       0       F   0    2     2     0.000000 0.711311 -0.449596 -0.760807 -0.000000 +0.311211 -0.026500
87      0       0       F   0    3     1     0.000000 0.702267 +0.455747 +1.088661 -0.000000 -0.632914 +0.033087
88      0       0       F   0    0     1     0.000000 0.705422 -2.966035 -3.082716 -0.000000 +0.116681 -0.281363
89      0       0       F   0    3     5     0.000000 0.699333 +2.255751 +1.785211 +0.000000 +0.470540 +0.192520
90      0       0       F   0    0     1     0.000000 0.699667 -0.714121 +0.086487 +0.000000 -0.800608 -0.111535
91      0       0       F   0    1     1     0.000000 0.721844 +0.016256 -0.391457 -0.000000 +0.407713 -0.052256
92      0       0       F   0    1     2     0.000000 0.699600 +0.038455 +0.875940 +0.000000 -0.837485 +0.008822
93      0       0       F   0    1     1     0.000000 0.693844 +0.536237 +0.457956 +0.000000 +0.078282 -0.028874
94      0       0       F   0    4     0     0.000000 0.693111 +0.273941 -0.081592 +0.000000 +0.355533 +0.023643
95      0       0       F   0    4     2     0.000000 0.708289 +0.370050 +0.204386 -0.000000 +0.165664 +0.117665
96      0       0       F   0    0     1     0.000000 0.707489 -1.618091 -0.897183 -0.000000 -0.720908 -0.160789
97      0       0       F   0    2     0     0.000000 0.685600 -0.804260 -0.338125 -0.000000 -0.466135 -0.069412
98      0       0       F   0    0     1     0.000000 0.716600 -1.180102 -1.090846 -0.000000 -0.089256 -0.044629
99      0       0       F   0    2     2     0.000000 0.703467 -0.229775 +0.339714 +0.000000 -0.569490 +0.040629
100     0       0       F   0    0     2     0.000000 0.713667 -0.406886 -0.394153 +0.000000 -0.012733 -0.100348
101     0       0       F   0    0     4     0.000000 0.694778 -0.142468 -0.587343 +0.000000 +0.444875 +0.011350
102     0       0       F   0    0     2     0.000000 0.699356 -0.651913 -1.295272 -0.000000 +0.643359 -0.048036
